         ps                                            /acc_method_tb/acc_result    
          delta                                                                     
          0  +0 UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU 
    1000000  +1 0011111110101001100100001011111000111011010010000011011011101010 
    1980000  +1 0011111110101101001010010101110011000001001010001001101111011000 
    2960000  +1 0011111110101000110011111000100000101100001010010100000111001100 
    3940000  +1 0011111110100111111101101101001000011110100100000001100111011011 
    4920000  +1 0011111110011101001111110010000000100110001001011101100111001111 
    5900000  +1 0011111110100110000011001001011111110011101001000000101111000110 
    6880000  +1 0011111110101011111000011010110101011011011000001001111001000000 
    7860000  +1 0011111110110111001110111001010010110010111110101110010011010110 
    8840000  +1 0011111110011110011011011001010110011011011100101000101001010000 
    9820000  +1 0011111110101011101011100001100011011110100010111100001100100011 
   10800000  +1 0011111110100111010101111111001111110000111100000110111101011000 
   11780000  +1 0011111110100110111001001100110111011111000000001010000110111010 
   12760000  +1 0011111110101100100110111000000000000100001011010111011001011101 
   13740000  +1 0011111110011001001000001110111110110001011110110011111110110000 
   14720000  +1 0011111110101001110110000100101001110100101000000010000100001011 
   15700000  +1 0011111110100001101010110101000111101110110100101100110111011011 
   16680000  +1 0011111110100110001000101011110011000000000110010100010000110011 
   17660000  +1 0011111110100010101110001000110001100111100001010001110111111111 
   18640000  +1 0011111110011110000101101111010101110111100011110001000111011100 
   19620000  +1 0011111110100111111001001110010010110101011110001001010000001110 
   20600000  +1 0011111110100011100001111100000111001110101100000010011101011000 
   21580000  +1 0011111110110000011111110000001100000011101011111111011011111111 
   22560000  +1 0011111110101000001000101100111100010001000001101011001000001110 
   23540000  +1 0011111110011110001111111001011110001100001011101001100000000000 
   24520000  +1 0011111110100111010100111101110111001010100110111011011110001010 
   25500000  +1 0011111110101010101111111001111001101010101000000100100001100111 
   26480000  +1 0011111110101000000001010000110100111100010100101100000101001101 
   27460000  +1 0011111110110000101110000101111011110100100111011111111101110011 
   28440000  +1 0011111110100100100110010111000101001011011100000000011101001110 
   29420000  +1 0011111110101000010101010011011011000101011000000100001100111100 
   30400000  +1 0011111110100001110100110111010010011011111000011001110001110111 
   31380000  +1 0011111110101001110000110010111111110000111001001011001101010111 
   32360000  +1 0011111110100100010110100000110011110010000011000010001001110011 
   33340000  +1 0011111110101001101001110001011010000110101010000010100100110101 
   34320000  +1 0011111110110001010110111110110100100011000110101000000110011000 
   35300000  +1 0011111110100100010111111111100111010101101001101011000010011011 
   36280000  +1 0011111110100111100110111000011100110001111011001101000010101110 
   37260000  +1 0011111110100110011010110111111100001000010001001010011001110000 
   38240000  +1 0011111110100110110011010111011000110001010110011101100111000101 
   39220000  +1 0011111110100001100001001011001010110101010001000010000110110100 
   40200000  +1 0011111110101000010100001100111010001111101101110001101110101001 
   41180000  +1 0011111110100010111100001100100110101011111101001001111101000010 
   42160000  +1 0011111110100111101111110101011000100000110010110111101011010110 
   43140000  +1 0011111110011100110001000011101101001111011000000000000111011011 
   44120000  +1 0011111110100110000101100100001101000101101010111110000111011011 
   45100000  +1 0011111110101100010100110101110101110011111011001010100000101101 
   46080000  +1 0011111110100110011110000110100101000101001101000110100001011101 
   47060000  +1 0011111110100101100001001001101011000011000010010100100001011101 
   48040000  +1 0011111110101100100001100100001000011010010100101001000101001000 
   49020000  +1 0011111110101110000100111000000101001010010000011101100001100000 
   50000000  +1 0011111110101111000000100111110110100111110100101111011010110001 
   50980000  +1 0011111110101111110100010101101011101101111000100111110011000100 
   51960000  +1 0011111110100111100001111111000110101001011010111110100000100001 
   52940000  +1 0011111110100110111001111011110100010000100100101001001010011110 
   53920000  +1 0011111110100101010101110100010101101000011000110100110111010111 
   54900000  +1 0011111110101010011011011101101100000100110000011000000010001001 
   55880000  +1 0011111110011100011011000000101010001001010111000000011100111101 
   56860000  +1 0011111110101101010000011010110111001011100001010001110101110101 
   57840000  +1 0011111110100000110101100011011010011011110100000010010101111110 
   58820000  +1 0011111110110010000110110111111101101010100100101111100011010111 
   59800000  +1 0011111110101000101110001110111110100111010001101110001111011101 
   60780000  +1 0011111110100001100000001000111110110111110001000111101110110001 
   61760000  +1 0011111110101000011101110111010011111111010110110111011011000101 
   62740000  +1 0011111110101100011111111001100001011100000101000000011001001001 
   63720000  +1 0011111110100101011011010100011100011000001011111000110001101110 
   64700000  +1 0011111110100010000001010110101000011001010011100001101101001100 
   65680000  +1 0011111110100010010011010111010000011110110011001110100100110111 
   66660000  +1 0011111110101001100100000000000110011000110000111100000100100001 
   67640000  +1 0011111110011001011111000110101100100100011001111001011010011111 
   68620000  +1 0011111110101111101101110100000101111111111111010011100001011100 
   69600000  +1 0011111110011111001001000011000110101100100101001111010110100101 
   70580000  +1 0011111110101001111110101111100100111111111000110011100101010010 
   71560000  +1 0011111110101010111101000100100011100101111010011001010011110101 
   72540000  +1 0011111110101010100100110011001011100110011001101010100001101110 
   73520000  +1 0011111110101100000111010111000110110011001010010100011111010011 
   74500000  +1 0011111110101011011011001100100101000010111000101000010101111100 
   75480000  +1 0011111110101010101100111100101000110111001010110011010011110001 
   76460000  +1 0011111110100000111000010000111010101000000111111001001000111000 
   77440000  +1 0011111110101011111110010011111001110111111011010010011010011000 
   78420000  +1 0011111110100100100011111000011101110101010001110111110001100011 
   79400000  +1 0011111110100001110011011100010000010101100101001100000111011011 
   80380000  +1 0011111110011111100001110101001011001010000110101110001010011011 
   81360000  +1 0011111110101001001101001000101101100100110100101101111011111101 
   82340000  +1 0011111110011111110111101101111110001101010000011001000101000000 
   83320000  +1 0011111110100111000111100101111000011111111110010010010010110000 
   84300000  +1 0011111110010100000101101100010010111101111000010100010101010011 
   85280000  +1 0011111110101011001100101110110011111000000010010111000000011101 
   86260000  +1 0011111110100000111000000001011110111011011101000111010100100000 
   87240000  +1 0011111110100111010100100010111010001001111111011000000000000110 
   88220000  +1 0011111110101000011100101010000111001101111111010010011001110100 
   89200000  +1 0011111110101001010011110001110001000011111010100100111111001101 
   90180000  +1 0011111110100101101001010100100100011100111111111000001001101100 
   91160000  +1 0011111110100000001100101010100101010100010111101000001010010110 
   92140000  +1 0011111110100110111010001100110111000111010111010100001001101001 
   93120000  +1 0011111110101000001111111100110011001111100010000000100100011010 
   94100000  +1 0011111110101010001101011010010110110101111110010000100000001011 
   95080000  +1 0011111110110000001001000101011011000000010000111010010111011101 
   96060000  +1 0011111110100101001011100010110010000001110111001101110100000000 
   97040000  +1 0011111110011111110101111000111101001111000001101001110001000110 
   98020000  +1 0011111110101000010110101101011100000110100011001010101010100000 
   99000000  +1 0011111111010011011101111111000000101010001001110101001000100001 
   99980000  +1 0011111111010011001110111111000001001001001101011011100110111110 
  100960000  +1 0011111111010010110001110111100100010000100000111000011110001000 
  101940000  +1 0011111111010000100011111110110000111011101111001001000010000101 
  102920000  +1 0011111111010100100101010101011101011111100111001111111010001010 
  103900000  +1 0011111111010010101001010110000000111010001000001100100100110000 
  104880000  +1 0011111111010100010000001111110100100100101001101011001100101100 
  105860000  +1 0011111111010100001100111110110100001011001111000111011110011011 
  106840000  +1 0011111111010100000000100100111010111110110101100100001110001110 
  107820000  +1 0011111111010100011101110010011000010110000010001001011101110001 
  108800000  +1 0011111111010010011111110111001110110001001000110110110001000000 
  109780000  +1 0011111111010010010011100001110101000101111101100001111001111111 
  110760000  +1 0011111111010100110011110100010010001100110001011001111100101011 
  111740000  +1 0011111111010101000100101111101000001111010101010000111101100101 
  112720000  +1 0011111111010011101011110011011001000111100001110111000101101000 
  113700000  +1 0011111111010001101111111011100100110100010001010001010010101001 
  114680000  +1 0011111111010010011010011111000001110001010111001110001101001110 
  115660000  +1 0011111111010011000000100011111100000010011001100011110010111010 
  116640000  +1 0011111111010010100010001111011011111100100110010111111010011111 
  117620000  +1 0011111111010011100000000100110000101101100010100000100110011100 
  118600000  +1 0011111111010011101110100101010101001000111110010100010100001110 
  119580000  +1 0011111111010010011010110010010000001001110101111101110101011110 
  120560000  +1 0011111111010010101100010010101001010001010110100110100011111110 
  121540000  +1 0011111111010010001010010110110011100110000001010000111100101111 
  122520000  +1 0011111111010011000110010110001100101110110110100110101110001011 
  123500000  +1 0011111111010010011001101101101110000000000001100111110100111110 
  124480000  +1 0011111111010011000010111101100000010100110100101110101110100111 
  125460000  +1 0011111111010011011001110101001011100101010001100000100000010100 
  126440000  +1 0011111111010001101001011110000111111110100100010101101101011111 
  127420000  +1 0011111111010001101010111001011010101111110111011001010010010110 
  128400000  +1 0011111111010011011110000001011101000001110101110101110010100000 
  129380000  +1 0011111111010010010011100110111010001000011110000001011110100001 
  130360000  +1 0011111111010100100110000111111110010011100010001101001100100110 
  131340000  +1 0011111111010100010010010001111111011001111011111100011101011110 
  132320000  +1 0011111111010100000110010101110110000011100100101111001111111000 
  133300000  +1 0011111111010001111110110010000001011100010111101100111001000000 
  134280000  +1 0011111111010010110100000001001100101010101110011001000100000001 
